5/100 - 400/569 |  Loss train-val = 1.2611 - 2.2197 | Acc train - val = 0.4667 - 0.3322
6/100 - 0/569 |  Loss train-val = 2.1037 - 2.1345 | Acc train - val = 0.4070 - 0.3382
6/100 - 200/569 |  Loss train-val = 1.9305 - 2.0597 | Acc train - val = 0.4359 - 0.3478
6/100 - 400/569 |  Loss train-val = 1.0160 - 2.1150 | Acc train - val = 0.4291 - 0.3398
7/100 - 0/569 |  Loss train-val = 2.2626 - 2.1167 | Acc train - val = 0.3553 - 0.3403
7/100 - 200/569 |  Loss train-val = 2.3764 - 2.1596 | Acc train - val = 0.2753 - 0.3441
7/100 - 400/569 |  Loss train-val = 2.5656 - 2.1540 | Acc train - val = 0.2957 - 0.3370
8/100 - 0/569 |  Loss train-val = 1.5622 - 2.1573 | Acc train - val = 0.3529 - 0.3345
8/100 - 200/569 |  Loss train-val = 1.4303 - 2.1883 | Acc train - val = 0.3834 - 0.3314
8/100 - 400/569 |  Loss train-val = 2.6482 - 2.2045 | Acc train - val = 0.3061 - 0.3282
9/100 - 0/569 |  Loss train-val = 2.7375 - 2.1394 | Acc train - val = 0.3077 - 0.3376
9/100 - 200/569 |  Loss train-val = 1.6898 - 2.1006 | Acc train - val = 0.3894 - 0.3397
9/100 - 400/569 |  Loss train-val = 1.9979 - 2.1547 | Acc train - val = 0.2844 - 0.3352
10/100 - 0/569 |  Loss train-val = 1.8909 - 2.0891 | Acc train - val = 0.3537 - 0.3449
10/100 - 200/569 |  Loss train-val = 1.7068 - 2.0667 | Acc train - val = 0.3304 - 0.3485
10/100 - 400/569 |  Loss train-val = 2.1186 - 2.0567 | Acc train - val = 0.2732 - 0.3489
11/100 - 0/569 |  Loss train-val = 1.8226 - 2.2447 | Acc train - val = 0.4192 - 0.3315
11/100 - 200/569 |  Loss train-val = 2.1158 - 2.0937 | Acc train - val = 0.3729 - 0.3439
11/100 - 400/569 |  Loss train-val = 1.7679 - 2.1105 | Acc train - val = 0.3398 - 0.3408
12/100 - 0/569 |  Loss train-val = 2.1671 - 2.1044 | Acc train - val = 0.3225 - 0.3467
12/100 - 200/569 |  Loss train-val = 2.9190 - 2.0562 | Acc train - val = 0.2327 - 0.3445
12/100 - 400/569 |  Loss train-val = 1.4320 - 2.0615 | Acc train - val = 0.3762 - 0.3435
13/100 - 0/569 |  Loss train-val = 2.2680 - 1.9617 | Acc train - val = 0.3492 - 0.3578
13/100 - 200/569 |  Loss train-val = 1.6246 - 2.0916 | Acc train - val = 0.3785 - 0.3446
13/100 - 400/569 |  Loss train-val = 1.9548 - 2.1253 | Acc train - val = 0.3432 - 0.3414
